# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
StorageLockContext.competingThreads.90P,1740411228504000000,1740411288519000000,0
StorageLockContext.competingThreads.avg,1740411228504000000,1740411288519000000,0.0
FilePageCacheLockFree.totalPagesReadMs,1740411228504000000,1740411288519000000,0
DirectByteBufferAllocator.disposed,1740411228504000000,1740411288519000000,0
FilePageCacheLockFree.totalPagesReclaimed,1740411228504000000,1740411288519000000,0
FilePageCacheLockFree.totalPagesWritten,1740411228504000000,1740411288519000000,0
FilePageCacheLockFree.nativeBytesInUse,1740411228504000000,1740411288519000000,0
FilePageCache.totalPageDisposalsUs,1740411228504000000,1740411288519000000,453
MappedFileStorage.totalPagesMapped,1740411228504000000,1740411288519000000,6
StreamlinedBlobStorage.recordsRelocated,1740411228504000000,1740411288519000000,0
FilePageCacheLockFree.totalPagesHandedOver,1740411228504000000,1740411288519000000,0
FilePageCache.totalPageLoadsUs,1740411228504000000,1740411288519000000,262916
FileChannelInterruptsRetryer.totalRetriedAttempts,1740411228504000000,1740411288519000000,0
DirectByteBufferAllocator.hits,1740411228504000000,1740411288519000000,5
FilePageCacheLockFree.totalNativeBytesAllocated,1740411228504000000,1740411288519000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1740411228504000000,1740411288519000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1740411228504000000,1740411288519000000,0
FilePageCache.pageFastCacheHits,1740411228504000000,1740411288519000000,13113
FilePageCacheLockFree.totalPagesRequested,1740411228504000000,1740411288519000000,0
DirectByteBufferAllocator.misses,1740411228504000000,1740411288519000000,188
StreamlinedBlobStorage.recordsDeleted,1740411228504000000,1740411288519000000,0
FilePageCache.maxCacheSizeInBytes,1740411228504000000,1740411288519000000,195051520
FilePageCacheLockFree.housekeeperTimeSpentMs,1740411228504000000,1740411288519000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1740411228504000000,1740411288519000000,0
FilePageCacheLockFree.heapBytesInUse,1740411228504000000,1740411288519000000,0
DirectByteBufferAllocator.reclaimed,1740411228504000000,1740411288519000000,5
FilePageCacheLockFree.totalPagesWriteMs,1740411228504000000,1740411288519000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1740411228504000000,1740411288519000000,195051520
FilePageCache.pageLoads,1740411228504000000,1740411288519000000,193
FilePageCache.maxRegisteredFiles,1740411228504000000,1740411288519000000,520
FilePageCache.uncachedFileAccess,1740411228504000000,1740411288519000000,336
MappedFileStorage.storages,1740411228504000000,1740411288519000000,6
FilePageCache.capacityInBytes,1740411228504000000,1740411288519000000,503316478
FilePageCacheLockFree.totalBytesRead,1740411228504000000,1740411288519000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1740411228504000000,1740411288519000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1740411228504000000,1740411288519000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1740411228504000000,1740411288519000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1740411228504000000,1740411288519000000,0
