# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexing.cache.totalCacheMisses,1740991119058000000,1740991138016000000,56
Indexes.entries.lookupDurationAvgMs,1740991119058000000,1740991138016000000,1.4545454545454546
Indexes.stubs.lookupDurationMaxMs,1740991119058000000,1740991138016000000,59.0
Indexes.stubs.lookupDurationAvgMs,1740991119058000000,1740991138016000000,1.565217391304348
Indexes.stubs.lookupDuration90PMs,1740991119058000000,1740991138016000000,1.0
Indexing.writer_3.totalTimeSpentWritingMs,1740991119058000000,1740991138016000000,0
Indexes.allKeys.lookupDuration90PMs,1740991119058000000,1740991138016000000,0.0
Indexing.writesQueuedAvg,1740991119058000000,1740991138016000000,0.0
Indexing.writesQueuedMin,1740991119058000000,1740991138016000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1740991119058000000,1740991138016000000,0
Indexes.entries.lookupDurationMaxMs,1740991119058000000,1740991138016000000,11.0
Indexing.writer_1.totalTimeSpentWritingMs,1740991119058000000,1740991138016000000,0
Indexes.stubs.lookups,1740991119058000000,1740991138016000000,45
Indexes.allKeys.lookupDurationMaxMs,1740991119058000000,1740991138016000000,0.0
Indexes.allKeys.lookups,1740991119058000000,1740991138016000000,0
Indexing.writesQueuedMax,1740991119058000000,1740991138016000000,0
Indexes.allKeys.lookupDurationAvgMs,1740991119058000000,1740991138016000000,0.0
Indexing.totalTimeIndexersSleptMs,1740991119058000000,1740991138016000000,0
Indexes.entries.lookupDuration90PMs,1740991119058000000,1740991138016000000,1.0
Indexing.writer_2.totalTimeSpentWritingMs,1740991119058000000,1740991138016000000,0
Indexing.cache.totalCacheAccesses,1740991119058000000,1740991138016000000,71
Indexes.entries.lookups,1740991119058000000,1740991138016000000,11
Indexing.cache.totalCacheEvicted,1740991119058000000,1740991138016000000,56
NonBlockingReadAction.failedExecutionsCount,1740991119058000000,1740991138016000000,1
NonBlockingReadAction.failedExecutionTimeUs,1740991119058000000,1740991138016000000,42408
AWTEventQueue.dispatchTimeTotalNS,1740991119058000000,1740991138016000000,3046998009
NonBlockingReadAction.finalizedExecutionsCount,1740991119058000000,1740991138016000000,13
NonBlockingReadAction.finalizedExecutionTimeUs,1740991119058000000,1740991138016000000,260839
FilePageCacheLockFree.totalNativeBytesAllocated,1740991119058000000,1740991138016000000,0
FilePageCache.pageHits,1740991119058000000,1740991138016000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1740991119058000000,1740991138016000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1740991119058000000,1740991138016000000,0
DirectByteBufferAllocator.hits,1740991119058000000,1740991138016000000,3
FilePageCacheLockFree.housekeeperTurnsDone,1740991119058000000,1740991138016000000,0
DirectByteBufferAllocator.disposed,1740991119058000000,1740991138016000000,165
FilePageCache.pageLoads,1740991119058000000,1740991138016000000,210
FilePageCacheLockFree.nativeBytesInUse,1740991119058000000,1740991138016000000,0
FilePageCache.totalPageDisposalsUs,1740991119058000000,1740991138016000000,693
FilePageCacheLockFree.totalBytesWritten,1740991119058000000,1740991138016000000,0
FilePageCache.capacityInBytes,1740991119058000000,1740991138016000000,503316478
FilePageCacheLockFree.totalPagesWriteMs,1740991119058000000,1740991138016000000,0
StorageLockContext.competingThreads.90P,1740991119058000000,1740991138016000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1740991119058000000,1740991138016000000,0
